timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1488729393693,18,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-50,,true,,3348,422,62,78,18,1000,1
1488729393693,18,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-49,,true,,3398,422,62,78,18,1000,1
1488729394816,17,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-25,text,true,,2663,451,62,78,17,0,1
1488729393816,17,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-25,,true,,2663,451,62,78,17,1001,1
1488729394823,17,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-26,text,true,,2664,451,62,78,16,0,1
1488729393823,17,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-26,,true,,2664,451,62,78,16,1000,1
1488729394947,18,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-51,text,true,,3396,422,62,78,18,0,1
1488729393947,18,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-51,,true,,3396,422,62,78,18,1002,1
1488729395016,24,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-27,text,true,,2664,451,62,78,24,0,1
1488729394016,24,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-27,,true,,2664,451,62,78,24,1000,1
1488729395040,3,1 /addressbookv4.1.4/,304,Not Modified,Thread Group - create address book entry 1-1,,true,,502,861,16,78,2,0,1
1488729394039,3,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-1,,true,,502,861,16,78,2,1001,1
1488729395040,22,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-52,text,true,,3396,422,62,78,22,0,1
1488729394034,22,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-52,,true,,3396,422,62,78,22,1007,1
1488729395194,23,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-3,text,true,,5295,425,62,78,23,0,1
1488729394193,23,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-3,,true,,5295,425,62,78,23,1002,1
1488729395209,20,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-2,text,true,,5295,425,62,78,19,0,0
1488729394208,20,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-2,,true,,5295,425,62,78,19,1002,0
1488729395232,20,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-53,text,true,,3396,422,62,78,20,0,0
1488729394231,20,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-53,,true,,3396,422,62,78,20,1002,0
1488729395262,17,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-54,text,true,,3408,422,62,78,17,0,0
1488729394261,17,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-54,,true,,3408,422,62,78,17,1001,0
1488729395273,22,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-1,text,true,,5295,425,62,78,21,0,0
1488729394272,22,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-1,,true,,5295,425,62,78,21,1002,0
1488729395282,17,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-28,text,true,,2705,447,62,78,17,0,0
